"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 08-Oct-2021","30 D % CHNG 
 08-Sep-2022"
"NIFTY 50","17,094.35","17,280.15","17,064.70","17,314.65","17,266.00","-48.65","-0.28",144945759,"100,429,018,489.50","18,604.45","15,183.40","-3.24","-2.91"
"AXISBANK","748.00","773.95","745.00","755.70","770.70","15.00","1.98",9094555,"6,920,046,899.50","866.90","618.25","-3.36","-3.71"
"TCS","3,010.00","3,118.60","3,005.00","3,064.90","3,117.15","52.25","1.70",1968887,"6,067,046,535.02","4,043.00","2,926.10","-22.12","-4.75"
"EICHERMOT","3,461.00","3,537.90","3,451.30","3,498.55","3,526.65","28.10","0.80",275657,"961,874,779.23","3,787.25","2,159.55","24.15","0.73"
"MARUTI","8,675.00","8,858.80","8,658.00","8,779.10","8,842.00","62.90","0.72",234271,"2,055,931,840.77","9,451.00","6,536.55","18.16","-1.87"
"POWERGRID","207.95","211.95","207.55","209.40","210.80","1.40","0.67",7498187,"1,577,468,581.06","248.35","180.30","11.56","-6.06"
"HDFCLIFE","525.80","530.75","520.00","526.85","530.00","3.15","0.60",1802478,"945,039,215.40","732.35","497.05","-27.04","-8.53"
"SBIN","525.70","533.90","522.20","530.20","533.30","3.10","0.58",6690849,"3,527,549,409.78","578.50","425.00","15.76","-4.18"
"ICICIBANK","872.00","889.80","870.70","882.55","887.25","4.70","0.53",5117086,"4,500,067,770.12","936.65","642.15","25.47","-2.07"
"COALINDIA","227.00","232.00","226.60","229.70","230.90","1.20","0.52",7918407,"1,825,192,813.50","240.50","139.15","21.89","-3.32"
"M&M","1,234.00","1,246.00","1,218.00","1,238.85","1,240.90","2.05","0.17",1595611,"1,960,910,182.34","1,338.00","671.15","41.13","-4.80"
"NTPC","162.70","165.60","161.85","164.30","164.50","0.20","0.12",4548230,"744,636,215.60","176.15","119.10","16.44","-1.38"
"INFY","1,426.35","1,453.00","1,426.35","1,451.20","1,452.25","1.05","0.07",2516456,"3,627,496,488.56","1,953.90","1,355.00","-15.82","-4.00"
"DRREDDY","4,350.00","4,384.75","4,320.00","4,376.65","4,376.00","-0.65","-0.01",113261,"493,304,887.67","5,009.65","3,654.00","-9.74","2.86"
"WIPRO","400.30","408.55","399.75","408.10","407.75","-0.35","-0.09",4896741,"1,979,654,451.48","739.85","384.60","-38.27","-2.17"
"INDUSINDBK","1,193.10","1,216.90","1,183.25","1,213.40","1,211.90","-1.50","-0.12",1656921,"1,993,623,916.41","1,275.80","763.20","3.32","6.71"
"BRITANNIA","3,750.00","3,783.85","3,717.00","3,785.65","3,778.65","-7.00","-0.18",87390,"327,821,737.50","3,963.65","3,050.00","-2.51","3.73"
"ONGC","133.00","134.00","132.20","134.05","133.75","-0.30","-0.22",6214112,"829,211,105.28","194.95","119.85","-16.71","0.04"
"TECHM","1,008.10","1,022.00","1,003.50","1,023.85","1,020.90","-2.95","-0.29",1099330,"1,113,434,403.90","1,838.00","943.70","-28.90","-9.12"
"ADANIENT","3,234.00","3,278.75","3,225.25","3,277.60","3,268.00","-9.60","-0.29",1028345,"3,348,455,855.20","3,885.00","1,367.70","111.74","-5.03"
"BHARTIARTL","784.95","791.65","779.70","793.10","790.70","-2.40","-0.30",2218696,"1,743,185,073.28","816.75","628.75","14.03","3.57"
"HCLTECH","942.20","954.90","942.20","957.70","954.60","-3.10","-0.32",1246550,"1,185,306,998.50","1,359.40","877.35","-27.56","0.97"
"SUNPHARMA","945.95","954.25","935.25","955.15","952.00","-3.15","-0.33",919574,"870,643,467.46","967.85","733.70","16.28","7.32"
"TATASTEEL","102.00","103.35","101.15","103.30","102.95","-0.35","-0.34",23556308,"2,406,041,299.12","142.66","82.70","-92.06","-2.27"
"BAJFINANCE","7,265.00","7,338.00","7,221.00","7,345.15","7,319.90","-25.25","-0.34",420076,"3,055,653,827.80","8,050.00","5,220.00","-5.01","2.29"
"HINDUNILVR","2,570.00","2,594.80","2,542.00","2,599.70","2,590.30","-9.40","-0.36",539652,"1,381,897,669.44","2,734.00","1,901.55","-1.53","0.42"
"HDFC","2,295.00","2,316.40","2,264.55","2,326.90","2,315.00","-11.90","-0.51",1139581,"2,603,110,690.87","3,021.10","2,026.00","-14.47","-4.30"
"KOTAKBANK","1,801.10","1,821.75","1,794.55","1,825.40","1,816.00","-9.40","-0.51",606609,"1,094,977,773.72","2,253.00","1,631.00","-5.73","-5.24"
"HDFCBANK","1,408.00","1,426.00","1,398.20","1,430.80","1,423.00","-7.80","-0.55",4553448,"6,405,654,042.96","1,725.00","1,271.60","-10.72","-4.52"
"LT","1,905.00","1,917.00","1,883.50","1,924.55","1,913.95","-10.60","-0.55",1098084,"2,082,099,034.08","2,078.55","1,456.35","11.45","-1.29"
"JSWSTEEL","655.65","663.50","654.50","666.05","662.30","-3.75","-0.56",651190,"428,684,888.90","790.00","520.05","0.03","-3.04"
"ADANIPORTS","807.50","813.95","799.00","816.90","811.95","-4.95","-0.61",3001729,"2,420,444,179.15","987.85","651.95","10.41","-9.92"
"NESTLEIND","19,100.00","19,205.00","19,004.95","19,321.00","19,197.95","-123.05","-0.64",21202,"404,793,672.48","20,200.00","16,000.00","1.76","1.42"
"BAJAJ-AUTO","3,557.35","3,585.00","3,529.05","3,603.55","3,578.85","-24.70","-0.69",101548,"360,986,892.32","4,131.75","3,027.05","-5.56","-6.37"
