"SYMBOL
","OPEN
","HIGH
","LOW
","PREVCLOSE
","LTP
","CHNG
","%CHNG
",VOLUME,VALUE,"52WH
","52WL
",365D%CHNG,30D%CHNG
NIFTY 50,17094.35,17280.15,17064.7,17314.65,17266,-48.65,-0.28,144945759,1.00429E+11,18604.45,15183.4,-3.24,-2.91
AXISBANK,748,773.95,745,755.7,770.7,15,1.98,9094555,6920046900,866.9,618.25,-3.36,-3.71
TCS,3010,3118.6,3005,3064.9,3117.15,52.25,1.7,1968887,6067046535,4043,2926.1,-22.12,-4.75
EICHERMOT,3461,3537.9,3451.3,3498.55,3526.65,28.1,0.8,275657,961874779.2,3787.25,2159.55,24.15,0.73
MARUTI,8675,8858.8,8658,8779.1,8842,62.9,0.72,234271,2055931841,9451,6536.55,18.16,-1.87
POWERGRID,207.95,211.95,207.55,209.4,210.8,1.4,0.67,7498187,1577468581,248.35,180.3,11.56,-6.06
HDFCLIFE,525.8,530.75,520,526.85,530,3.15,0.6,1802478,945039215.4,732.35,497.05,-27.04,-8.53
SBIN,525.7,533.9,522.2,530.2,533.3,3.1,0.58,6690849,3527549410,578.5,425,15.76,-4.18
ICICIBANK,872,889.8,870.7,882.55,887.25,4.7,0.53,5117086,4500067770,936.65,642.15,25.47,-2.07
COALINDIA,227,232,226.6,229.7,230.9,1.2,0.52,7918407,1825192814,240.5,139.15,21.89,-3.32
M&M,1234,1246,1218,1238.85,1240.9,2.05,0.17,1595611,1960910182,1338,671.15,41.13,-4.8
NTPC,162.7,165.6,161.85,164.3,164.5,0.2,0.12,4548230,744636215.6,176.15,119.1,16.44,-1.38
INFY,1426.35,1453,1426.35,1451.2,1452.25,1.05,0.07,2516456,3627496489,1953.9,1355,-15.82,-4
DRREDDY,4350,4384.75,4320,4376.65,4376,-0.65,-0.01,113261,493304887.7,5009.65,3654,-9.74,2.86
WIPRO,400.3,408.55,399.75,408.1,407.75,-0.35,-0.09,4896741,1979654451,739.85,384.6,-38.27,-2.17
INDUSINDBK,1193.1,1216.9,1183.25,1213.4,1211.9,-1.5,-0.12,1656921,1993623916,1275.8,763.2,3.32,6.71
BRITANNIA,3750,3783.85,3717,3785.65,3778.65,-7,-0.18,87390,327821737.5,3963.65,3050,-2.51,3.73
ONGC,133,134,132.2,134.05,133.75,-0.3,-0.22,6214112,829211105.3,194.95,119.85,-16.71,0.04
TECHM,1008.1,1022,1003.5,1023.85,1020.9,-2.95,-0.29,1099330,1113434404,1838,943.7,-28.9,-9.12
