"SYMBOL
",NIFTY 50,AXISBANK,TCS,EICHERMOT,MARUTI,POWERGRID,HDFCLIFE,SBIN,ICICIBANK,COALINDIA,M&M,NTPC,INFY,DRREDDY,WIPRO,INDUSINDBK,BRITANNIA,ONGC,TECHM,ADANIENT,BHARTIARTL,HCLTECH,SUNPHARMA,TATASTEEL,BAJFINANCE,HINDUNILVR,HDFC,KOTAKBANK,HDFCBANK,LT,JSWSTEEL,ADANIPORTS,NESTLEIND,BAJAJ-AUTO,ULTRACEMCO,RELIANCE,TITAN,BPCL,BAJAJFINSV,SBILIFE,UPL,GRASIM,HINDALCO,CIPLA,DIVISLAB,APOLLOHOSP,ASIANPAINT,ITC,TATACONSUM,HEROMOTOCO,TATAMOTORS
"OPEN
",17094.35,748,3010,3461,8675,207.95,525.8,525.7,872,227,1234,162.7,1426.35,4350,400.3,1193.1,3750,133,1008.1,3234,784.95,942.2,945.95,102,7265,2570,2295,1801.1,1408,1905,655.65,807.5,19100,3557.35,6156.2,2405,2710,306,1675.3,1230,680,1682,403.5,1110,3682.8,4375,3280,330,769.25,2599.8,403.4
"HIGH
",17280.15,773.95,3118.6,3537.9,8858.8,211.95,530.75,533.9,889.8,232,1246,165.6,1453,4384.75,408.55,1216.9,3783.85,134,1022,3278.75,791.65,954.9,954.25,103.35,7338,2594.8,2316.4,1821.75,1426,1917,663.5,813.95,19205,3585,6173.25,2417.6,2727.9,306.6,1693.95,1235.75,686.8,1687.95,409.15,1131.5,3739.6,4420,3299,331.45,775.05,2599.8,403.4
"LOW
",17064.7,745,3005,3451.3,8658,207.55,520,522.2,870.7,226.6,1218,161.85,1426.35,4320,399.75,1183.25,3717,132.2,1003.5,3225.25,779.7,942.2,935.25,101.15,7221,2542,2264.55,1794.55,1398.2,1883.5,654.5,799,19004.95,3529.05,6120,2388,2700.8,302.1,1657,1218.05,677.5,1657.2,400,1110,3650.1,4295,3260.2,326.25,758.6,2531.4,393.4
"PREVCLOSE
",17314.65,755.7,3064.9,3498.55,8779.1,209.4,526.85,530.2,882.55,229.7,1238.85,164.3,1451.2,4376.65,408.1,1213.4,3785.65,134.05,1023.85,3277.6,793.1,957.7,955.15,103.3,7345.15,2599.7,2326.9,1825.4,1430.8,1924.55,666.05,816.9,19321,3603.55,6203.5,2432.35,2730.5,307.4,1699,1243.2,690.45,1697.9,411.1,1130.5,3735.75,4394.1,3343.7,334.1,780.9,2624.95,412.15
"LTP
",17266,770.7,3117.15,3526.65,8842,210.8,530,533.3,887.25,230.9,1240.9,164.5,1452.25,4376,407.75,1211.9,3778.65,133.75,1020.9,3268,790.7,954.6,952,102.95,7319.9,2590.3,2315,1816,1423,1913.95,662.3,811.95,19197.95,3578.85,6158.85,2413.9,2709.6,304.95,1685.3,1232.25,684.25,1682.25,407.3,1119.9,3691,4340.35,3288,328.5,762.9,2556,396.35
"CHNG
",-48.65,15,52.25,28.1,62.9,1.4,3.15,3.1,4.7,1.2,2.05,0.2,1.05,-0.65,-0.35,-1.5,-7,-0.3,-2.95,-9.6,-2.4,-3.1,-3.15,-0.35,-25.25,-9.4,-11.9,-9.4,-7.8,-10.6,-3.75,-4.95,-123.05,-24.7,-44.65,-18.45,-20.9,-2.45,-13.7,-10.95,-6.2,-15.65,-3.8,-10.6,-44.75,-53.75,-55.7,-5.6,-18,-68.95,-15.8
"%CHNG
",-0.28,1.98,1.7,0.8,0.72,0.67,0.6,0.58,0.53,0.52,0.17,0.12,0.07,-0.01,-0.09,-0.12,-0.18,-0.22,-0.29,-0.29,-0.3,-0.32,-0.33,-0.34,-0.34,-0.36,-0.51,-0.51,-0.55,-0.55,-0.56,-0.61,-0.64,-0.69,-0.72,-0.76,-0.77,-0.8,-0.81,-0.88,-0.9,-0.92,-0.92,-0.94,-1.2,-1.22,-1.67,-1.68,-2.31,-2.63,-3.83
VOLUME,144945759,9094555,1968887,275657,234271,7498187,1802478,6690849,5117086,7918407,1595611,4548230,2516456,113261,4896741,1656921,87390,6214112,1099330,1028345,2218696,1246550,919574,23556308,420076,539652,1139581,606609,4553448,1098084,651190,3001729,21202,101548,158771,1726039,810700,1668186,849550,283503,616507,540490,4683729,951099,176267,145171,477222,5818742,1308708,696468,19603586
VALUE,1.00429E+11,6920046900,6067046535,961874779.2,2055931841,1577468581,945039215.4,3527549410,4500067770,1825192814,1960910182,744636215.6,3627496489,493304887.7,1979654451,1993623916,327821737.5,829211105.3,1113434404,3348455855,1743185073,1185306999,870643467.5,2406041299,3055653828,1381897669,2603110691,1094977774,6405654043,2082099034,428684888.9,2420444179,404793672.5,360986892.3,974780905.3,4146135542,2198602186,506945043.5,1423004746,348221064.8,421105106.4,904920787.4,1893678472,1065525721,648539173.1,627954581,1564405299,1911747684,998321723.6,1778493720,7774390136
"52WH
",18604.45,866.9,4043,3787.25,9451,248.35,732.35,578.5,936.65,240.5,1338,176.15,1953.9,5009.65,739.85,1275.8,3963.65,194.95,1838,3885,816.75,1359.4,967.85,142.66,8050,2734,3021.1,2253,1725,2078.55,790,987.85,20200,4131.75,8269,2856.15,2768,470,1932.5,1340.35,848,1929.8,636,1150.4,5425.1,5935.4,3590,349.55,863,2950,536.7
"52WL
",15183.4,618.25,2926.1,2159.55,6536.55,180.3,497.05,425,642.15,139.15,671.15,119.1,1355,3654,384.6,763.2,3050,119.85,943.7,1367.7,628.75,877.35,733.7,82.7,5220,1901.55,2026,1631,1271.6,1456.35,520.05,651.95,16000,3027.05,5157.05,2180,1825.05,293.35,1072.72,1003.5,607.5,1276.6,308.95,850,3365.55,3361.55,2560,207,650.2,2146.85,339.25
365D%CHNG,-3.24,-3.36,-22.12,24.15,18.16,11.56,-27.04,15.76,25.47,21.89,41.13,16.44,-15.82,-9.74,-38.27,3.32,-2.51,-16.71,-28.9,111.74,14.03,-27.56,16.28,-92.06,-5.01,-1.53,-14.47,-5.73,-10.72,11.45,0.03,10.41,1.76,-5.56,-15.43,-8.94,15.79,-31.61,-90.32,3.91,-6.44,6.2,-13.21,23.27,-26.34,0.34,1.11,44.2,-4.62,-7.64,7.63
30D%CHNG,-2.91,-3.71,-4.75,0.73,-1.87,-6.06,-8.53,-4.18,-2.07,-3.32,-4.8,-1.38,-4,2.86,-2.17,6.71,3.73,0.04,-9.12,-5.03,3.57,0.97,7.32,-2.27,2.29,0.42,-4.3,-5.24,-4.52,-1.29,-3.04,-9.92,1.42,-6.37,-8.55,-5.33,4.88,-9.19,-90.13,-4.18,-6.95,-2.88,-3.5,6.82,3.68,-1.49,-2.85,1.09,-4.34,-7.52,-7.57
